prime,cutoff,prefix_mean_exact
2,50,4.4275393495393498
2,250,4.488798002402163
2,500,4.4861965505213224
2,1000,4.4907572586349609
2,2000,4.4944281986802661
2,4000,4.4939602653653488
2,8000,4.4990335896164737
5,50,4.2081818248969958
5,250,4.3947066898568385
5,500,4.436095010797418
5,1000,4.4556257646635968
5,2000,4.4737151474299894
5,4000,4.4846394510147274
5,8000,4.4921483701273059
11,50,4.100074821797743
11,250,4.4152074074122956
11,500,4.4523290359842562
11,1000,4.47289226077549
11,2000,4.4837018203047334
11,4000,4.4909397024554414
11,8000,4.4951661871397457
101,50,3.7862853593072052
101,250,4.3497263148191356
101,500,4.4145603750325124
101,1000,4.4537690245407768
101,2000,4.4742670349912173
101,4000,4.4859704300844072
101,8000,4.4924439397054927
197,50,4.4883166278120274
197,250,4.4950194280665254
197,500,4.4963872501444744
197,1000,4.5002248894219568
197,2000,4.4995536846220272
197,4000,4.4999401003767705
197,8000,4.500050386920794
